,x,y,holdout,city,lst_day_mean,lst_night_mean,lst_day_max,lst_night_max,ndvi_mean,alb_mean,svf_mean,dsm_sd,bldg,lcov_11,tree_mean,svf_max,nbdi_max,tree_max,dsm_mean,pdens_mean,tree_min
4562,196027.42286091,274057.50238596,116,phx,5.34768464328787,3.3733184536557914,3.1517454335308908,2.8398250903954865,-1.0508500620895156,0.698642544605489,0.8075829575114715,-0.5564171994197081,0.011731188793160752,-0.19599360044667088,-0.4771407956033058,0.4421104880431638,0.4065810072937585,-0.7385178114578776,-0.8165297074355771,-0.2044728571008727,-0.04862412354377108
4563,196527.42286091,274057.50238596,116,phx,4.116901644401473,4.485757665331484,2.46374189350999,2.9190410938188904,-1.0850619160449022,0.7978308319913296,0.6729877656577898,-0.2732530200541328,-0.2960896853882218,-0.19599360044667088,-0.4518519451664884,0.4081523421552852,0.23220991546218184,-0.7385178114578776,-0.8081433092655121,-0.8393905196046826,-0.048624123534031366
4564,197027.42286091,274057.50238596,116,phx,1.261124067275574,2.17548417477348,-0.3385309031359114,1.5818027820481861,-0.10599324302284394,0.3831930648491487,0.5801199587516005,-0.5475764577753465,0.03794270041781169,-0.19599360044667088,-0.5104103874075878,0.4042224645615402,-0.2275431127215927,-0.7385178114578776,-0.8118910352090647,-0.0420729519065131,-0.04862412354377108
4565,197527.42286091,274057.50238596,116,phx,-2.6039385803606265,0.8103297236169809,-4.275920276917809,0.09143107795318883,0.7544506199101554,-0.06107283008283593,0.3123248969478835,-0.4833008574428159,-0.3119485176925743,-0.19599360044667088,-0.5379766206165936,0.42689480536438107,-0.3043260504671892,-0.7385178114578776,-0.8015998494069225,-0.47556701061948503,-0.04862412354377108
4566,198027.42286091,274057.50238596,116,phx,-0.20869171493102104,2.132213640471889,-2.6734880259387097,-0.3360744152139148,0.009212000149525423,0.21669537513962744,0.3937357341706211,-0.5205299758566835,0.6558251830205408,-0.19599360044667088,-0.5023504327265524,0.31569952187919204,-0.4373871457975605,-0.7385178114601806,-0.7894346786198891,-0.012527524733742868,-0.048624123536060736
4567,198527.42286091,274057.50238596,116,phx,0.5565240597950734,3.1842786491218864,-1.6017259409861069,2.2149280872245853,-0.468476976635596,0.6102028327775092,-0.4208671666646678,-0.0731835557657199,1.0585096601740451,-0.19599360044667088,-0.4850621269855278,-0.10474663843179574,0.6899852330519662,-0.7385178114578776,-0.7637786938273279,0.16790016990244394,-0.04862412353841421
4568,199027.42286091,274057.50238596,116,phx,-0.3307734946187324,2.78018836176539,-2.2890809824712117,2.291256364798187,-0.03440147984039983,0.2701917172296552,-0.3886951503444769,-0.1454600030676718,0.7489648500790498,-0.19599360044667088,-0.4961519909199376,0.30527024640851197,1.3525393259233598,-0.7385178114578776,-0.7562391424356764,-0.3646649239910019,-0.04862412354235877
4569,199527.42286091,274057.50238596,117,phx,1.332100890522078,2.407479404259888,0.3867231556972968,0.8462375965037907,-0.2266002486781788,0.3374408583074638,0.3221372798731827,-0.4947071132806053,0.3928910756270837,-0.19599360044667088,-0.4935973615494633,0.3822554736369577,0.6601002389773165,-0.7385178114578776,-0.7651675660414687,-0.16307455244924024,-0.04862412354377108
4570,200027.42286091,274057.50238596,117,phx,3.2563684597468736,2.301006299909389,0.4107404896842937,0.17041057013518213,-0.493041188348139,0.5946157035959486,0.6203757824182287,-0.5572064998435544,0.8019340414900907,-0.19599360044667088,-0.4967856974305656,0.44684648615123934,-0.2701101569124509,-0.7385178114590487,-0.7495607554699442,0.7396034898111341,-0.048624123537797735
4571,200527.42286091,274057.50238596,117,phx,3.131613577142076,2.526808645581788,0.09447538348818796,0.04376262091858507,-0.4360072195645826,0.4728262070235419,0.6353493419184917,-0.5673623560383497,0.5359899504166818,-0.19599360044667088,-0.5037564690467587,0.3516729852429619,-0.4879709170129809,-0.7385178114592126,-0.7276009321588514,0.3347959385116136,-0.04862412353778158
4572,201027.42286091,274057.50238596,117,phx,3.9729993706626767,2.513200751733585,1.5469556996423959,0.6334804859074836,-0.7077920838070022,0.7542784035660759,0.629695227539812,-0.5379634016460741,1.0265981274472644,-0.19599360044667088,-0.4821510377026658,0.4184304685522451,0.16232042761963786,-0.7385178114578776,-0.7030596274354736,0.6101825704842321,-0.04862412354377108
